date,births,deaths,proportion_deaths
1841-01-01,254,37,0.145669
1841-02-01,239,18,0.075314
1841-03-01,277,12,0.043321
1841-04-01,255,4,0.015686
1841-05-01,255,2,0.007843
1841-06-01,200,10,0.05
1841-07-01,190,16,0.084211
1841-08-01,222,3,0.013514
1841-09-01,213,4,0.018779
1841-10-01,236,26,0.110169
1841-11-01,235,53,0.225532
1842-01-01,307,64,0.208469
1842-02-01,311,38,0.122186
1842-03-01,264,27,0.102273
1842-04-01,242,26,0.107438
1842-05-01,310,10,0.032258
1842-06-01,273,18,0.065934
1842-07-01,231,48,0.207792
1842-08-01,216,55,0.25463
1842-09-01,223,41,0.183857
1842-10-01,242,71,0.293388
1842-11-01,209,48,0.229665
1842-12-01,239,75,0.313808
1843-01-01,272,52,0.191176
1843-02-01,263,42,0.159696
1843-03-01,266,33,0.12406
1843-04-01,285,34,0.119298
1843-05-01,246,15,0.060976
1843-06-01,196,8,0.040816
1843-07-01,191,1,0.005236
1843-08-01,193,3,0.015544
1843-09-01,221,5,0.022624
1843-10-01,250,44,0.176
1843-11-01,252,18,0.071429
1843-12-01,236,19,0.080508
1844-01-01,244,37,0.151639
1844-02-01,257,29,0.11284
1844-03-01,276,47,0.17029
1844-04-01,208,36,0.173077
1844-05-01,240,14,0.058333
1844-06-01,224,6,0.026786
1844-07-01,206,9,0.043689
1844-08-01,269,17,0.063197
1844-09-01,245,3,0.012245
1844-10-01,248,8,0.032258
1844-11-01,245,27,0.110204
1844-12-01,256,27,0.105469
1845-01-01,303,23,0.075908
1845-02-01,274,13,0.047445
1845-03-01,292,13,0.044521
1845-04-01,260,11,0.042308
1845-05-01,296,13,0.043919
1845-06-01,280,20,0.071429
1845-07-01,245,15,0.061224
1845-08-01,251,9,0.035857
1845-09-01,237,25,0.105485
1845-10-01,283,42,0.14841
1845-11-01,265,29,0.109434
1845-12-01,267,28,0.104869
1846-01-01,336,45,0.133929
1846-02-01,293,53,0.180887
1846-03-01,311,48,0.154341
1846-04-01,253,48,0.189723
1846-05-01,305,41,0.134426
1846-06-01,266,27,0.101504
1846-07-01,252,33,0.130952
1846-08-01,216,39,0.180556
1846-09-01,271,39,0.143911
1846-10-01,254,38,0.149606
1846-11-01,297,32,0.107744
1846-12-01,298,16,0.053691
1847-01-01,311,10,0.032154
1847-02-01,312,6,0.019231
1847-03-01,305,11,0.036066
1847-04-01,312,57,0.182692
1847-05-01,294,36,0.122449
1847-06-01,268,6,0.022388
1847-07-01,250,3,0.012
1847-08-01,264,5,0.018939
1847-09-01,262,12,0.045802
1847-10-01,278,11,0.039568
1847-11-01,246,11,0.044715
1847-12-01,273,8,0.029304
1848-01-01,283,10,0.035336
1848-02-01,291,2,0.006873
1848-03-01,276,0,0.0
1848-04-01,305,2,0.006557
1848-05-01,313,3,0.009585
1848-06-01,264,3,0.011364
1848-07-01,269,1,0.003717
1848-08-01,261,0,0.0
1848-09-01,312,3,0.009615
1848-10-01,299,7,0.023411
1848-11-01,310,9,0.029032
1848-12-01,373,5,0.013405
1849-01-01,403,9,0.022333
1849-02-01,389,12,0.030848
1849-03-01,406,20,0.049261
